word	valence	arousal
agronomist	0.571	0.519
aground	-0.334	-0.320
agua	0.196	-0.640
aha	0.096	0.030
ahead	0.416	0.040
ahem	-0.292	0.333
ahh	0.000	-0.206
ahhh	0.124	0.034
ahhhh	-0.242	-0.196
ahhhhhhhh	0.104	0.298
ahold	0.048	-0.048
ahoy	0.000	-0.006
aid	0.774	-0.018
aide	0.448	-0.316
aiding	0.286	0.066
aidless	-0.667	-0.667
aids	0.122	-0.040
ail	-0.250	-0.132
ailing	-0.812	0.036
ailment	-0.708	0.468
aim	-0.038	0.138
aimless	-0.700	-0.466
aimlessly	-0.667	-0.714
aimlessness	-0.667	-0.958
air	0.416	-0.674
airbag	0.020	-0.196
airbase	0.000	0.000
airbed	0.250	-0.458
airboat	0.083	0.704
airborne	0.084	0.038
airbrush	0.667	0.630
aircraft	0.292	0.288
aircraftman	0.000	0.667
aircraftsman	0.000	0.619
aircrew	0.048	0.667
airdrop	0.037	0.889
airfare	-0.238	0.000
airfield	0.202	0.300
airflow	0.571	0.667
airforce	0.667	0.667
airframe	0.083	0.000
airfreight	0.000	0.667
airhead	-0.458	-0.038
airily	0.375	0.333
airiness	0.542	-0.852
airless	-0.667	-0.833
airlift	0.146	0.244
airline	0.300	-0.036
airliner	0.334	0.554
airlock	-0.204	0.040
airmail	0.667	0.667
airman	0.174	0.432
airmanship	1.000	0.667
airplane	0.438	0.404
airplay	0.583	0.667
airport	0.458	0.368
airpower	0.667	0.889
airproof	0.667	-0.667
airs	0.166	-0.608
airshaft	-0.238	-0.267
airship	0.084	-0.056
airshow	0.667	1.000
airsick	-0.667	0.611
airsickness	-0.963	0.667
airspace	0.124	0.020
airspeed	0.166	0.560
airstream	0.500	0.667
airstrike	-0.704	1.000
airstrip	0.100	0.380
airtight	-0.042	-0.238
airtime	0.600	0.667
airwave	0.000	0.429
airway	0.276	0.170
airwoman	0.667	0.667
airworthiness	0.583	-0.667
airworthy	0.963	0.048
airy	0.611	0.238
aisle	-0.124	-0.556
ait	-0.230	-0.220
ajar	-0.080	-0.174
aka	-0.082	-0.284
akimbo	0.000	0.593
akin	0.278	-0.314
alabaster	0.084	-0.192
alacrity	0.708	1.000
alamo	-0.542	0.000
alarm	-0.518	0.764
alarmclock	-0.190	1.000
alarmed	-0.624	0.644
alarming	-0.592	0.780
alarmism	-0.667	0.963
alarmist	-0.667	0.952
alas	0.142	-0.380
alb	0.042	-0.240
albacore	0.037	0.000
albanian	0.000	0.000
albatross	0.000	-0.110
albeit	0.000	0.000
albinism	0.000	-0.333
albino	0.000	-0.520
album	0.270	-0.302
alchemic	0.667	0.417
alchemically	0.048	0.500
alchemist	0.389	0.667
alchemistic	0.000	0.619
alchemize	0.125	0.667
alchemy	0.082	0.166
alcohol	-0.354	0.334
alcoholic	-0.694	0.376
alcoholism	-0.878	0.558
alcove	-0.020	-0.320
alderman	0.100	-0.082
ale	0.060	-0.100
alehouse	0.048	0.667
alert	-0.042	0.640
alertly	0.917	0.933
alertness	-0.250	0.750
alerts	-0.326	0.608
alfalfa	0.092	-0.500
alfresco	0.667	0.333
algae	0.000	-0.667
algebra	-0.120	-0.320
algebraic	0.062	-0.176
algebraically	0.000	-0.519
algorithm	-0.104	-0.212
algorithmic	0.200	0.667
alias	0.082	-0.294
alibi	-0.208	0.056
alien	-0.180	0.230
alienability	0.000	0.000
alienable	0.000	0.000
alienate	-0.506	0.000
alienated	-0.180	-0.154
alienation	-0.244	0.060
alienator	-0.778	0.630
alienist	-0.667	0.667
alight	0.334	0.314
align	0.312	-0.272
aligned	0.166	-0.450
aligner	0.583	0.667
alignment	0.286	-0.176
alike	0.306	-0.654
alikeness	0.292	-0.533
alimentation	0.578	-0.116
alimony	0.224	-0.046
aliquot	-0.120	-0.380
alive	0.511	0.274
alkali	-0.020	-0.300
alkaline	0.286	-0.375
alkalinity	0.000	-0.889
alkalinize	0.611	0.611
alkalization	0.667	-0.333
alkalize	0.667	-0.250
alkaloid	0.000	0.407
alkaloids	-0.134	0.124
all	0.000	0.000
allay	-0.166	-0.188
allegation	0.156	0.156
allege	-0.164	-0.036
allegeable	0.000	-0.667
alleged	-0.270	0.044
allegedly	-0.333	-0.037
allegiance	0.834	-0.204
allegiant	1.000	-0.542
allegoric	0.000	-0.417
allegorical	0.034	0.116
allegorically	0.000	-0.583
allegorist	0.593	-0.185
allegoristic	0.037	-0.167
allegorize	0.000	-0.481
allegory	0.230	0.160
allegro	0.270	0.254
allergen	-0.722	0.556
allergenic	-0.667	0.000
allergic	-0.730	0.098
allergies	-0.667	0.000
allergist	0.000	0.667
allergy	-0.408	0.212
alleviate	0.738	-0.460
alleviation	0.470	-0.600
alleviative	0.741	-0.619
